date1,date2,date3,date4,date5,date6,date7,date8,pce,pop,psavert,uempmed,unemploy
1969-09-01,19690901,1969m9,Sep 1969,"September 01, 1969",01-Sep-1969,September 01 (1969),09/01/69,613.2,203090,11.6,4.7,3040
1969-10-01,19691001,1969m10,Oct 1969,"October 01, 1969",01-Oct-1969,October 01 (1969),10/01/69,618.5,203302,11.4,4.5,3049
1969-11-01,19691101,1969m11,Nov 1969,"November 01, 1969",01-Nov-1969,November 01 (1969),11/01/69,620.5,203500,11.6,4.8,2856
1969-12-01,19691201,1969m12,Dec 1969,"December 01, 1969",01-Dec-1969,December 01 (1969),12/01/69,622.8,203675,11.8,4.6,2884
1970-01-01,19700101,1970m1,Jan 1970,"January 01, 1970",01-Jan-1970,January 01 (1970),01/01/70,628.7,203849,11.8,4.6,3201
1970-02-01,19700201,1970m2,Feb 1970,"February 01, 1970",01-Feb-1970,February 01 (1970),02/01/70,634,204008,11.7,4.5,3453
1970-03-01,19700301,1970m3,Mar 1970,"March 01, 1970",01-Mar-1970,March 01 (1970),03/01/70,632.3,204156,12.4,4.6,3635
1970-04-01,19700401,1970m4,Apr 1970,"April 01, 1970",01-Apr-1970,April 01 (1970),04/01/70,636,204401,13.3,4.1,3797
1970-05-01,19700501,1970m5,May 1970,"May 01, 1970",01-May-1970,May 01 (1970),05/01/70,642.4,204607,12.4,4.7,3919
1970-06-01,19700601,1970m6,Jun 1970,"June 01, 1970",01-Jun-1970,June 01 (1970),06/01/70,646.3,204830,12.3,4.9,4071
1970-07-01,19700701,1970m7,Jul 1970,"July 01, 1970",01-Jul-1970,July 01 (1970),07/01/70,648.5,205052,13.5,5.1,4175
1970-08-01,19700801,1970m8,Aug 1970,"August 01, 1970",01-Aug-1970,August 01 (1970),08/01/70,652.9,205295,13.4,5.4,4256
1970-09-01,19700901,1970m9,Sep 1970,"September 01, 1970",01-Sep-1970,September 01 (1970),09/01/70,659.1,205540,12.9,5.2,4456
1970-10-01,19701001,1970m10,Oct 1970,"October 01, 1970",01-Oct-1970,October 01 (1970),10/01/70,658.3,205788,13.1,5.2,4591
1970-11-01,19701101,1970m11,Nov 1970,"November 01, 1970",01-Nov-1970,November 01 (1970),11/01/70,656.6,206024,13.6,5.6,4898
1970-12-01,19701201,1970m12,Dec 1970,"December 01, 1970",01-Dec-1970,December 01 (1970),12/01/70,665.6,206238,13.2,5.9,5076
1971-01-01,19710101,1971m1,Jan 1971,"January 01, 1971",01-Jan-1971,January 01 (1971),01/01/71,676.1,206466,13.3,6.2,4986
1971-02-01,19710201,1971m2,Feb 1971,"February 01, 1971",01-Feb-1971,February 01 (1971),02/01/71,679.4,206668,13.3,6.3,4903
1971-03-01,19710301,1971m3,Mar 1971,"March 01, 1971",01-Mar-1971,March 01 (1971),03/01/71,682,206855,13.5,6.4,4987
1971-04-01,19710401,1971m4,Apr 1971,"April 01, 1971",01-Apr-1971,April 01 (1971),04/01/71,688.8,207065,13.2,6.5,4959
1971-05-01,19710501,1971m5,May 1971,"May 01, 1971",01-May-1971,May 01 (1971),05/01/71,691.1,207260,13.6,6.7,4996
1971-06-01,19710601,1971m6,Jun 1971,"June 01, 1971",01-Jun-1971,June 01 (1971),06/01/71,699.8,207462,14.7,5.7,4949
1971-07-01,19710701,1971m7,Jul 1971,"July 01, 1971",01-Jul-1971,July 01 (1971),07/01/71,698.9,207661,13.8,6.2,5035
1971-08-01,19710801,1971m8,Aug 1971,"August 01, 1971",01-Aug-1971,August 01 (1971),08/01/71,704.9,207881,13.6,6.4,5134
1971-09-01,19710901,1971m9,Sep 1971,"September 01, 1971",01-Sep-1971,September 01 (1971),09/01/71,713,208114,13.3,5.8,5042
1971-10-01,19711001,1971m10,Oct 1971,"October 01, 1971",01-Oct-1971,October 01 (1971),10/01/71,715.8,208345,13.3,6.5,4954
1971-11-01,19711101,1971m11,Nov 1971,"November 01, 1971",01-Nov-1971,November 01 (1971),11/01/71,720.9,208555,13.1,6.4,5161
1971-12-01,19711201,1971m12,Dec 1971,"December 01, 1971",01-Dec-1971,December 01 (1971),12/01/71,728.4,208740,13,6.2,5154
1972-01-01,19720101,1972m1,Jan 1972,"January 01, 1972",01-Jan-1972,January 01 (1972),01/01/72,731.5,208917,12.5,6.2,5019
1972-02-01,19720201,1972m2,Feb 1972,"February 01, 1972",01-Feb-1972,February 01 (1972),02/01/72,736.2,209061,12.8,6.6,4928
1972-03-01,19720301,1972m3,Mar 1972,"March 01, 1972",01-Mar-1972,March 01 (1972),03/01/72,749.2,209212,11.8,6.6,5038
1972-04-01,19720401,1972m4,Apr 1972,"April 01, 1972",01-Apr-1972,April 01 (1972),04/01/72,752.5,209386,11.5,6.7,4959
1972-05-01,19720501,1972m5,May 1972,"May 01, 1972",01-May-1972,May 01 (1972),05/01/72,758,209545,11.7,6.6,4922
1972-06-01,19720601,1972m6,Jun 1972,"June 01, 1972",01-Jun-1972,June 01 (1972),06/01/72,761.6,209725,11.7,5.4,4923
1972-07-01,19720701,1972m7,Jul 1972,"July 01, 1972",01-Jul-1972,July 01 (1972),07/01/72,769.9,209896,11.7,6.1,4913
1972-08-01,19720801,1972m8,Aug 1972,"August 01, 1972",01-Aug-1972,August 01 (1972),08/01/72,776.3,210075,12,6,4939
1972-09-01,19720901,1972m9,Sep 1972,"September 01, 1972",01-Sep-1972,September 01 (1972),09/01/72,781.1,210278,12.2,5.6,4849
1972-10-01,19721001,1972m10,Oct 1972,"October 01, 1972",01-Oct-1972,October 01 (1972),10/01/72,794.9,210479,13,5.7,4875
1972-11-01,19721101,1972m11,Nov 1972,"November 01, 1972",01-Nov-1972,November 01 (1972),11/01/72,800.5,210656,13.6,5.7,4602
1972-12-01,19721201,1972m12,Dec 1972,"December 01, 1972",01-Dec-1972,December 01 (1972),12/01/72,806.1,210821,13.7,6.1,4543
1973-01-01,19730101,1973m1,Jan 1973,"January 01, 1973",01-Jan-1973,January 01 (1973),01/01/73,816.5,210985,12.4,5.7,4326
1973-02-01,19730201,1973m2,Feb 1973,"February 01, 1973",01-Feb-1973,February 01 (1973),02/01/73,825.8,211120,12.5,5.2,4452
1973-03-01,19730301,1973m3,Mar 1973,"March 01, 1973",01-Mar-1973,March 01 (1973),03/01/73,832.8,211254,12.7,5.5,4394
1973-04-01,19730401,1973m4,Apr 1973,"April 01, 1973",01-Apr-1973,April 01 (1973),04/01/73,835.7,211420,13.2,5,4459
1973-05-01,19730501,1973m5,May 1973,"May 01, 1973",01-May-1973,May 01 (1973),05/01/73,841.6,211577,13.2,4.9,4329
1973-06-01,19730601,1973m6,Jun 1973,"June 01, 1973",01-Jun-1973,June 01 (1973),06/01/73,844.3,211746,13.6,5,4363
1973-07-01,19730701,1973m7,Jul 1973,"July 01, 1973",01-Jul-1973,July 01 (1973),07/01/73,854.1,211909,13.2,5.2,4305
1973-08-01,19730801,1973m8,Aug 1973,"August 01, 1973",01-Aug-1973,August 01 (1973),08/01/73,853.3,212092,13.9,4.9,4305
1973-09-01,19730901,1973m9,Sep 1973,"September 01, 1973",01-Sep-1973,September 01 (1973),09/01/73,869.2,212289,13.1,5.4,4350
1973-10-01,19731001,1973m10,Oct 1973,"October 01, 1973",01-Oct-1973,October 01 (1973),10/01/73,868.2,212475,14.4,5.5,4144
1973-11-01,19731101,1973m11,Nov 1973,"November 01, 1973",01-Nov-1973,November 01 (1973),11/01/73,876.9,212634,14.4,5.1,4396
1973-12-01,19731201,1973m12,Dec 1973,"December 01, 1973",01-Dec-1973,December 01 (1973),12/01/73,876.6,212785,14.8,4.7,4489
1974-01-01,19740101,1974m1,Jan 1974,"January 01, 1974",01-Jan-1974,January 01 (1974),01/01/74,884.5,212932,14.3,5,4644
1974-02-01,19740201,1974m2,Feb 1974,"February 01, 1974",01-Feb-1974,February 01 (1974),02/01/74,889.7,213074,14.2,5.1,4731
1974-03-01,19740301,1974m3,Mar 1974,"March 01, 1974",01-Mar-1974,March 01 (1974),03/01/74,901.4,213211,13.4,4.8,4634
1974-04-01,19740401,1974m4,Apr 1974,"April 01, 1974",01-Apr-1974,April 01 (1974),04/01/74,910.8,213361,13.1,5,4618
1974-05-01,19740501,1974m5,May 1974,"May 01, 1974",01-May-1974,May 01 (1974),05/01/74,922.4,213513,12.8,4.6,4705
1974-06-01,19740601,1974m6,Jun 1974,"June 01, 1974",01-Jun-1974,June 01 (1974),06/01/74,928,213686,12.8,5.3,4927
1974-07-01,19740701,1974m7,Jul 1974,"July 01, 1974",01-Jul-1974,July 01 (1974),07/01/74,937.9,213854,12.8,5.7,5063
1974-08-01,19740801,1974m8,Aug 1974,"August 01, 1974",01-Aug-1974,August 01 (1974),08/01/74,954.8,214042,12.1,5,5022
1974-09-01,19740901,1974m9,Sep 1974,"September 01, 1974",01-Sep-1974,September 01 (1974),09/01/74,955.1,214246,12.9,5.3,5437
1974-10-01,19741001,1974m10,Oct 1974,"October 01, 1974",01-Oct-1974,October 01 (1974),10/01/74,959.2,214451,13.4,5.5,5523
1974-11-01,19741101,1974m11,Nov 1974,"November 01, 1974",01-Nov-1974,November 01 (1974),11/01/74,956.2,214625,13.8,5.2,6140
1974-12-01,19741201,1974m12,Dec 1974,"December 01, 1974",01-Dec-1974,December 01 (1974),12/01/74,961.8,214782,14,5.7,6636
1975-01-01,19750101,1975m1,Jan 1975,"January 01, 1975",01-Jan-1975,January 01 (1975),01/01/75,975.6,214931,13.2,6.3,7501
1975-02-01,19750201,1975m2,Feb 1975,"February 01, 1975",01-Feb-1975,February 01 (1975),02/01/75,989.4,215065,12.5,7.1,7520
1975-03-01,19750301,1975m3,Mar 1975,"March 01, 1975",01-Mar-1975,March 01 (1975),03/01/75,990.6,215198,12.7,7.2,7978
1975-04-01,19750401,1975m4,Apr 1975,"April 01, 1975",01-Apr-1975,April 01 (1975),04/01/75,995,215353,14.2,8.7,8210
1975-05-01,19750501,1975m5,May 1975,"May 01, 1975",01-May-1975,May 01 (1975),05/01/75,1018.9,215523,17.3,9.4,8433
1975-06-01,19750601,1975m6,Jun 1975,"June 01, 1975",01-Jun-1975,June 01 (1975),06/01/75,1026.8,215768,14.3,8.8,8220
1975-07-01,19750701,1975m7,Jul 1975,"July 01, 1975",01-Jul-1975,July 01 (1975),07/01/75,1039.8,215973,12.6,8.6,8127
1975-08-01,19750801,1975m8,Aug 1975,"August 01, 1975",01-Aug-1975,August 01 (1975),08/01/75,1047,216195,13,9.2,7928
1975-09-01,19750901,1975m9,Sep 1975,"September 01, 1975",01-Sep-1975,September 01 (1975),09/01/75,1054.8,216393,13,9.2,7923
1975-10-01,19751001,1975m10,Oct 1975,"October 01, 1975",01-Oct-1975,October 01 (1975),10/01/75,1060.9,216587,13.4,8.6,7897
1975-11-01,19751101,1975m11,Nov 1975,"November 01, 1975",01-Nov-1975,November 01 (1975),11/01/75,1075.8,216771,12.7,9.5,7794
1975-12-01,19751201,1975m12,Dec 1975,"December 01, 1975",01-Dec-1975,December 01 (1975),12/01/75,1092.1,216931,12,9,7744
1976-01-01,19760101,1976m1,Jan 1976,"January 01, 1976",01-Jan-1976,January 01 (1976),01/01/76,1107.1,217095,11.7,9,7534
1976-02-01,19760201,1976m2,Feb 1976,"February 01, 1976",01-Feb-1976,February 01 (1976),02/01/76,1107.7,217249,12.3,8.2,7326
1976-03-01,19760301,1976m3,Mar 1976,"March 01, 1976",01-Mar-1976,March 01 (1976),03/01/76,1114.9,217381,12.2,8.7,7230
1976-04-01,19760401,1976m4,Apr 1976,"April 01, 1976",01-Apr-1976,April 01 (1976),04/01/76,1125.4,217528,11.7,8.2,7330
1976-05-01,19760501,1976m5,May 1976,"May 01, 1976",01-May-1976,May 01 (1976),05/01/76,1122.7,217685,12.3,8.3,7053
1976-06-01,19760601,1976m6,Jun 1976,"June 01, 1976",01-Jun-1976,June 01 (1976),06/01/76,1140.5,217861,11.4,7.8,7322
1976-07-01,19760701,1976m7,Jul 1976,"July 01, 1976",01-Jul-1976,July 01 (1976),07/01/76,1149.6,218035,11.7,7.7,7490
1976-08-01,19760801,1976m8,Aug 1976,"August 01, 1976",01-Aug-1976,August 01 (1976),08/01/76,1158,218233,11.7,7.9,7518
1976-09-01,19760901,1976m9,Sep 1976,"September 01, 1976",01-Sep-1976,September 01 (1976),09/01/76,1168.8,218440,11.4,7.8,7380
1976-10-01,19761001,1976m10,Oct 1976,"October 01, 1976",01-Oct-1976,October 01 (1976),10/01/76,1176.8,218644,11.1,7.7,7430
1976-11-01,19761101,1976m11,Nov 1976,"November 01, 1976",01-Nov-1976,November 01 (1976),11/01/76,1189,218834,11.4,8.4,7620
1976-12-01,19761201,1976m12,Dec 1976,"December 01, 1976",01-Dec-1976,December 01 (1976),12/01/76,1211.5,219006,10.6,8,7545
1977-01-01,19770101,1977m1,Jan 1977,"January 01, 1977",01-Jan-1977,January 01 (1977),01/01/77,1215,219179,10.6,7.5,7280
1977-02-01,19770201,1977m2,Feb 1977,"February 01, 1977",01-Feb-1977,February 01 (1977),02/01/77,1231.3,219344,9.3,7.2,7443
1977-03-01,19770301,1977m3,Mar 1977,"March 01, 1977",01-Mar-1977,March 01 (1977),03/01/77,1238.3,219504,10.5,7.2,7307
1977-04-01,19770401,1977m4,Apr 1977,"April 01, 1977",01-Apr-1977,April 01 (1977),04/01/77,1247.3,219684,10.5,7.3,7059
1977-05-01,19770501,1977m5,May 1977,"May 01, 1977",01-May-1977,May 01 (1977),05/01/77,1257.1,219859,10.3,7.9,6911
1977-06-01,19770601,1977m6,Jun 1977,"June 01, 1977",01-Jun-1977,June 01 (1977),06/01/77,1263.6,220046,10.6,6.2,7134
1977-07-01,19770701,1977m7,Jul 1977,"July 01, 1977",01-Jul-1977,July 01 (1977),07/01/77,1280.5,220239,10.5,7.1,6829
1977-08-01,19770801,1977m8,Aug 1977,"August 01, 1977",01-Aug-1977,August 01 (1977),08/01/77,1285.7,220458,10.9,7,6925
1977-09-01,19770901,1977m9,Sep 1977,"September 01, 1977",01-Sep-1977,September 01 (1977),09/01/77,1294.5,220688,11.1,6.7,6751
1977-10-01,19771001,1977m10,Oct 1977,"October 01, 1977",01-Oct-1977,October 01 (1977),10/01/77,1311.4,220904,11,6.9,6763
1977-11-01,19771101,1977m11,Nov 1977,"November 01, 1977",01-Nov-1977,November 01 (1977),11/01/77,1327,221109,11.2,7,6815
1977-12-01,19771201,1977m12,Dec 1977,"December 01, 1977",01-Dec-1977,December 01 (1977),12/01/77,1336,221303,11.4,6.8,6386
1978-01-01,19780101,1978m1,Jan 1978,"January 01, 1978",01-Jan-1978,January 01 (1978),01/01/78,1329.5,221477,11.9,6.5,6489
1978-02-01,19780201,1978m2,Feb 1978,"February 01, 1978",01-Feb-1978,February 01 (1978),02/01/78,1355.1,221629,11.1,6.7,6318
1978-03-01,19780301,1978m3,Mar 1978,"March 01, 1978",01-Mar-1978,March 01 (1978),03/01/78,1377.5,221792,11,6.2,6337
1978-04-01,19780401,1978m4,Apr 1978,"April 01, 1978",01-Apr-1978,April 01 (1978),04/01/78,1396.4,221991,10.8,6.1,6180
1978-05-01,19780501,1978m5,May 1978,"May 01, 1978",01-May-1978,May 01 (1978),05/01/78,1412,222176,10.3,5.7,6127
1978-06-01,19780601,1978m6,Jun 1978,"June 01, 1978",01-Jun-1978,June 01 (1978),06/01/78,1425.8,222379,10,6,6028
1978-07-01,19780701,1978m7,Jul 1978,"July 01, 1978",01-Jul-1978,July 01 (1978),07/01/78,1426.8,222585,10.9,5.8,6309
1978-08-01,19780801,1978m8,Aug 1978,"August 01, 1978",01-Aug-1978,August 01 (1978),08/01/78,1447,222805,10.5,5.8,6080
1978-09-01,19780901,1978m9,Sep 1978,"September 01, 1978",01-Sep-1978,September 01 (1978),09/01/78,1452.9,223053,10.6,5.6,6125
1978-10-01,19781001,1978m10,Oct 1978,"October 01, 1978",01-Oct-1978,October 01 (1978),10/01/78,1466.9,223271,10.7,5.9,5947
1978-11-01,19781101,1978m11,Nov 1978,"November 01, 1978",01-Nov-1978,November 01 (1978),11/01/78,1480.6,223477,10.5,5.5,6077
1978-12-01,19781201,1978m12,Dec 1978,"December 01, 1978",01-Dec-1978,December 01 (1978),12/01/78,1496.5,223670,10.4,5.6,6228
1979-01-01,19790101,1979m1,Jan 1979,"January 01, 1979",01-Jan-1979,January 01 (1979),01/01/79,1502.4,223865,11.1,5.9,6109
1979-02-01,19790201,1979m2,Feb 1979,"February 01, 1979",01-Feb-1979,February 01 (1979),02/01/79,1517.8,224053,11.1,5.9,6173
1979-03-01,19790301,1979m3,Mar 1979,"March 01, 1979",01-Mar-1979,March 01 (1979),03/01/79,1531.2,224235,11.2,5.9,6109
1979-04-01,19790401,1979m4,Apr 1979,"April 01, 1979",01-Apr-1979,April 01 (1979),04/01/79,1538.4,224438,11,5.4,6069
1979-05-01,19790501,1979m5,May 1979,"May 01, 1979",01-May-1979,May 01 (1979),05/01/79,1558.8,224632,10.3,5.6,5840
1979-06-01,19790601,1979m6,Jun 1979,"June 01, 1979",01-Jun-1979,June 01 (1979),06/01/79,1575.7,224843,9.9,5.6,5959
1979-07-01,19790701,1979m7,Jul 1979,"July 01, 1979",01-Jul-1979,July 01 (1979),07/01/79,1586.1,225055,10.6,5.9,5996
1979-08-01,19790801,1979m8,Aug 1979,"August 01, 1979",01-Aug-1979,August 01 (1979),08/01/79,1615.6,225295,9.7,4.8,6320
1979-09-01,19790901,1979m9,Sep 1979,"September 01, 1979",01-Sep-1979,September 01 (1979),09/01/79,1633.9,225547,9.4,5.5,6190
1979-10-01,19791001,1979m10,Oct 1979,"October 01, 1979",01-Oct-1979,October 01 (1979),10/01/79,1641.6,225801,9.7,5.5,6296
1979-11-01,19791101,1979m11,Nov 1979,"November 01, 1979",01-Nov-1979,November 01 (1979),11/01/79,1657.3,226027,9.7,5.3,6238
1979-12-01,19791201,1979m12,Dec 1979,"December 01, 1979",01-Dec-1979,December 01 (1979),12/01/79,1666.3,226243,10.1,5.7,6325
1980-01-01,19800101,1980m1,Jan 1980,"January 01, 1980",01-Jan-1980,January 01 (1980),01/01/80,1697.3,226451,9.9,5.3,6683
1980-02-01,19800201,1980m2,Feb 1980,"February 01, 1980",01-Feb-1980,February 01 (1980),02/01/80,1701.4,226656,10.1,5.8,6702
1980-03-01,19800301,1980m3,Mar 1980,"March 01, 1980",01-Mar-1980,March 01 (1980),03/01/80,1708.2,226849,10.2,6,6729
1980-04-01,19800401,1980m4,Apr 1980,"April 01, 1980",01-Apr-1980,April 01 (1980),04/01/80,1695.2,227061,11.3,5.8,7358
1980-05-01,19800501,1980m5,May 1980,"May 01, 1980",01-May-1980,May 01 (1980),05/01/80,1700.1,227251,11.4,5.7,7984
1980-06-01,19800601,1980m6,Jun 1980,"June 01, 1980",01-Jun-1980,June 01 (1980),06/01/80,1718.8,227522,11.2,6.4,8098
1980-07-01,19800701,1980m7,Jul 1980,"July 01, 1980",01-Jul-1980,July 01 (1980),07/01/80,1747.1,227726,11.3,7,8363
1980-08-01,19800801,1980m8,Aug 1980,"August 01, 1980",01-Aug-1980,August 01 (1980),08/01/80,1763.8,227953,11.3,7.5,8281
1980-09-01,19800901,1980m9,Sep 1980,"September 01, 1980",01-Sep-1980,September 01 (1980),09/01/80,1780.5,228186,11.7,7.7,8021
1980-10-01,19801001,1980m10,Oct 1980,"October 01, 1980",01-Oct-1980,October 01 (1980),10/01/80,1817.1,228417,11.3,7.5,8088
1980-11-01,19801101,1980m11,Nov 1980,"November 01, 1980",01-Nov-1980,November 01 (1980),11/01/80,1826.8,228612,11.6,7.7,8023
1980-12-01,19801201,1980m12,Dec 1980,"December 01, 1980",01-Dec-1980,December 01 (1980),12/01/80,1851.7,228779,11.4,7.5,7718
1981-01-01,19810101,1981m1,Jan 1981,"January 01, 1981",01-Jan-1981,January 01 (1981),01/01/81,1870,228937,10.9,7.4,8071
1981-02-01,19810201,1981m2,Feb 1981,"February 01, 1981",01-Feb-1981,February 01 (1981),02/01/81,1884.2,229071,10.8,7.1,8051
1981-03-01,19810301,1981m3,Mar 1981,"March 01, 1981",01-Mar-1981,March 01 (1981),03/01/81,1902.9,229224,10.8,7.1,7982
1981-04-01,19810401,1981m4,Apr 1981,"April 01, 1981",01-Apr-1981,April 01 (1981),04/01/81,1904.4,229403,10.9,7.4,7869
1981-05-01,19810501,1981m5,May 1981,"May 01, 1981",01-May-1981,May 01 (1981),05/01/81,1913.8,229575,11,6.9,8174
1981-06-01,19810601,1981m6,Jun 1981,"June 01, 1981",01-Jun-1981,June 01 (1981),06/01/81,1934.5,229761,10.8,6.6,8098
1981-07-01,19810701,1981m7,Jul 1981,"July 01, 1981",01-Jul-1981,July 01 (1981),07/01/81,1942.1,229966,12.3,7.1,7863
1981-08-01,19810801,1981m8,Aug 1981,"August 01, 1981",01-Aug-1981,August 01 (1981),08/01/81,1966.6,230187,12,7.2,8036
1981-09-01,19810901,1981m9,Sep 1981,"September 01, 1981",01-Sep-1981,September 01 (1981),09/01/81,1965.5,230412,12.4,6.8,8230
1981-10-01,19811001,1981m10,Oct 1981,"October 01, 1981",01-Oct-1981,October 01 (1981),10/01/81,1963.9,230641,13,6.8,8646
1981-11-01,19811101,1981m11,Nov 1981,"November 01, 1981",01-Nov-1981,November 01 (1981),11/01/81,1970.6,230822,13.2,6.9,9029
1981-12-01,19811201,1981m12,Dec 1981,"December 01, 1981",01-Dec-1981,December 01 (1981),12/01/81,1988.8,230989,12.5,6.9,9267
1982-01-01,19820101,1982m1,Jan 1982,"January 01, 1982",01-Jan-1982,January 01 (1982),01/01/82,1997.1,231157,12.7,7.1,9397
1982-02-01,19820201,1982m2,Feb 1982,"February 01, 1982",01-Feb-1982,February 01 (1982),02/01/82,2021.2,231313,12.1,7.5,9705
1982-03-01,19820301,1982m3,Mar 1982,"March 01, 1982",01-Mar-1982,March 01 (1982),03/01/82,2024.1,231470,12.2,7.7,9895
1982-04-01,19820401,1982m4,Apr 1982,"April 01, 1982",01-Apr-1982,April 01 (1982),04/01/82,2026.3,231645,12.9,8.1,10244
1982-05-01,19820501,1982m5,May 1982,"May 01, 1982",01-May-1982,May 01 (1982),05/01/82,2044.5,231809,12.3,8.5,10335
1982-06-01,19820601,1982m6,Jun 1982,"June 01, 1982",01-Jun-1982,June 01 (1982),06/01/82,2048.1,231992,12.3,9.5,10538
1982-07-01,19820701,1982m7,Jul 1982,"July 01, 1982",01-Jul-1982,July 01 (1982),07/01/82,2072.2,232188,12.5,8.5,10849
1982-08-01,19820801,1982m8,Aug 1982,"August 01, 1982",01-Aug-1982,August 01 (1982),08/01/82,2080.1,232392,12.6,8.7,10881
1982-09-01,19820901,1982m9,Sep 1982,"September 01, 1982",01-Sep-1982,September 01 (1982),09/01/82,2104.6,232599,11.8,9.5,11217
1982-10-01,19821001,1982m10,Oct 1982,"October 01, 1982",01-Oct-1982,October 01 (1982),10/01/82,2125.8,232816,11.3,9.7,11529
1982-11-01,19821101,1982m11,Nov 1982,"November 01, 1982",01-Nov-1982,November 01 (1982),11/01/82,2149.3,232993,10.9,10,11938
1982-12-01,19821201,1982m12,Dec 1982,"December 01, 1982",01-Dec-1982,December 01 (1982),12/01/82,2161.6,233160,10.9,10.2,12051
1983-01-01,19830101,1983m1,Jan 1983,"January 01, 1983",01-Jan-1983,January 01 (1983),01/01/83,2174,233322,11.1,11.1,11534
1983-02-01,19830201,1983m2,Feb 1983,"February 01, 1983",01-Feb-1983,February 01 (1983),02/01/83,2177,233473,11.1,9.8,11545
1983-03-01,19830301,1983m3,Mar 1983,"March 01, 1983",01-Mar-1983,March 01 (1983),03/01/83,2202.8,233613,10.6,10.4,11408
1983-04-01,19830401,1983m4,Apr 1983,"April 01, 1983",01-Apr-1983,April 01 (1983),04/01/83,2226.4,233781,10.3,10.9,11268
1983-05-01,19830501,1983m5,May 1983,"May 01, 1983",01-May-1983,May 01 (1983),05/01/83,2245.9,233922,9.9,12.3,11154
